title,position_group,company,salary_line_extracted,salary_min_rub,salary_max_rub
Грумер,Грумер,ГРУМИНГ САЛОН ПОМ ХАРДИ,"100 000 – 150 000 ₽ за месяц, на руки",100000.0,150000.0
Грумер,Грумер,ИП Мавлянова Тамила Дамировна,"90 000 – 150 000 ₽ за месяц, на руки",90000.0,150000.0
Грумер универсал,Грумер,ИП Тимаков Иван Сергеевич,"3 000 – 10 000 ₽ за смену, на руки",3000.0,10000.0
Грумер,Грумер,ИП Уваркина Анна Геннадьевна,"от 130 000 ₽ за месяц, до вычета налогов",130000.0,
"Грумер в сеть салонов, филиал в Перово",Грумер,Сеть зоосалонов Puffy-Shop,"120 000 – 180 000 ₽ за месяц, на руки",120000.0,180000.0
"Грумер в сеть салонов, премиум филиал на Новой Риге",Грумер,Сеть зоосалонов Puffy-Shop,"120 000 – 180 000 ₽ за месяц, на руки",120000.0,180000.0
Грумер-универсал,Грумер,ИП Сушков Александр Евгеньевич,"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Грумер-Универсал,Грумер,Блэкгрумер (ИП Ефанова Светлана Сергеевна),"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Грумер (мастер-универсал),Грумер,ООО Ветеринарная клиника ЭСПЕРАНС,"от 150 000 ₽ за месяц, на руки",150000.0,
Грумер,Грумер,Груминг салон Чёрная собака,"10 000 – 80 000 ₽ за месяц, на руки",10000.0,80000.0
Грумер в салон,Грумер,БЛЭКГРУМЕР.РФ,"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Грумер,Грумер,Груминг Салон КусьХвост,"70 000 – 150 000 ₽ за месяц, на руки",70000.0,150000.0
Грумер,Грумер,ЦаЦагрум (ИП Вердиева Эльвира Гамидулла Гызы),"от 80 000 ₽ за месяц, на руки",80000.0,
Грумер,Грумер,Груминг салон Hamelton,"от 100 000 ₽ за месяц, на руки",100000.0,
Грумер,Грумер,Космопёс,"80 000 – 150 000 ₽ за месяц, на руки",80000.0,150000.0
Грумер,Грумер,Doc&Dog (ООО Петс Хелс),"от 60 000 ₽ за месяц, на руки",60000.0,
Помощник грумера,Грумер,Businka,"40 000 – 50 000 ₽ за месяц, на руки",40000.0,50000.0
Грумер,Грумер,ИП Мамонтов Иван Александрович,"80 000 – 140 000 ₽ за месяц, на руки",80000.0,140000.0
Грумер-универсал,Грумер,ИП Азимова Ирина Зуфаровна,"от 4 000 ₽ за смену, на руки",4000.0,
Грумер,Грумер,GROOM (ИП Васечкина Ирина Алексеевна),"от 50 000 ₽ за месяц, на руки",50000.0,
Грумер,Грумер,Groom Club,"100 000 – 220 000 ₽ за месяц, на руки",100000.0,220000.0
Грумер,Грумер,Четыре Лапы,"60 000 – 130 000 ₽ за месяц, на руки",60000.0,130000.0
Грумер,Грумер,ООО Ютеил,"от 150 000 ₽ за месяц, до вычета налогов",150000.0,
Грумер,Грумер,ИП Дегтянникова Мария Александровна,"80 000 – 200 000 ₽ за месяц, на руки",80000.0,200000.0
Грумер,Грумер,ИП Писаренко Юлия Викторовна,"60 000 – 200 000 ₽ за месяц, на руки",60000.0,200000.0
Грумер,Грумер,DogsFrogs,"от 70 000 ₽ за месяц, на руки",70000.0,
Грумер,Грумер,Груминг салон на Вернадского,"70 000 – 150 000 ₽ за месяц, на руки",70000.0,150000.0
Грумер,Грумер,Picasso Groom (ИП Бресская Анастасия Андреевна),"70 000 – 150 000 ₽ за месяц, на руки",70000.0,150000.0
Грумер,Грумер,ИП Шабуня Александр Анатольевич,"120 000 – 170 000 ₽ за месяц, до вычета налогов",120000.0,170000.0
"Грумер в сеть зоосалонов ""Милана""",Грумер,Зоосалон Милана,"от 120 000 ₽ за месяц, на руки",120000.0,
Грумер в груминг-салон,Грумер,ООО Шелби,"100 000 – 300 000 ₽ за месяц, на руки",100000.0,300000.0
Грумер-универсал,Грумер,ИП Шифрина Дарья Павловна,"от 100 000 ₽ за месяц, до вычета налогов",100000.0,
Грумер в салон,Грумер,Monicagroom,"70 000 – 180 000 ₽ за месяц, на руки",70000.0,180000.0
Грумер в салон BARBERDOG,Грумер,Barberdog (ИП Носков Кирилл Александрович),"от 150 000 ₽ за месяц, на руки",150000.0,
Грумер-универсал,Грумер,ИП Торопов Егор Константинович,"от 90 000 ₽ за месяц, на руки",90000.0,
Грумер-универсал,Грумер,ИП Торопов Егор Константинович,"от 90 000 ₽ за месяц, на руки",90000.0,
"Грумер в салон для собак ""Vafvaf""",Грумер,ИП Насонова Елена Викторовна,"50 000 – 150 000 ₽ за месяц, на руки",50000.0,150000.0
Администратор в груминг-салон,Администратор pet-сервиса,Businka,"70 000 – 80 000 ₽ за месяц, на руки",70000.0,80000.0
Администратор в груминг салон,Администратор pet-сервиса,ИП Сушков Александр Евгеньевич,"55 000 – 75 000 ₽ за месяц, на руки",55000.0,75000.0
Администратор в груминг салон BARBERDOG,Администратор pet-сервиса,Barberdog (ИП Носков Кирилл Александрович),"от 70 000 ₽ за месяц, на руки",70000.0,
Администратор Международной Академии Груминга,Администратор pet-сервиса,ООО МИЛОРД,"до 80 000 ₽ за месяц, на руки",,80000.0
Администратор ветеринарной клиники,Администратор pet-сервиса,ООО Сеть ветеринарных клиник ЛЕБЕДИ,"80 000 – 150 000 ₽ за месяц, на руки",80000.0,150000.0
Выгульщик / догситтер,Догситтер,Собака-гуляка,"до 60 000 ₽ за месяц, на руки",,60000.0
Ветеринарный врач,Ветеринарный врач,Ветеринарные клиники HappyПёс,"100 000 – 140 000 ₽ за месяц, на руки",100000.0,140000.0
Ветеринарный врач,Ветеринарный врач,Клинико-диагностический ветеринарный центр POLIVET,"120 000 – 200 000 ₽ за месяц, до вычета налогов",120000.0,200000.0
Ветеринарный врач,Ветеринарный врач,ВЕТЕРИНАРНАЯ КЛИНИКА ВОДОЛЕЙ.,"от 120 000 ₽ за месяц, на руки",120000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Клиника Кошек,"от 65 000 ₽ за месяц, на руки",65000.0,
Ветеринарный врач,Ветеринарный врач,ООО МЕРУНГ,"150 000 – 200 000 ₽ за месяц, до вычета налогов",150000.0,200000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Амбито,"55 000 – 74 000 ₽ за месяц, на руки",55000.0,74000.0
Ветеринарный врач ОРИТ,Ветеринарный врач,ООО Клиника Кошек,"от 135 000 ₽ за месяц, на руки",135000.0,
Ветеринарный врач терапевт,Ветеринарный врач,ООО Клиника Кошек,"от 135 000 ₽ за месяц, до вычета налогов",135000.0,
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Ветеринарные клиники HappyПёс,"75 000 – 100 000 ₽ за месяц, на руки",75000.0,100000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Ветеринарная клиника BeautyBurm,"70 000 – 120 000 ₽ за месяц, на руки",70000.0,120000.0
Ветеринарный врач-анестезиолог,Ветеринарный врач,Ветеринарный Госпиталь Skolkovo Vet,"от 7 000 ₽ за смену, до вычета налогов",7000.0,
Ветеринарный врач УЗИ,Ветеринарный врач,Апрелевский ветеринарный центр,"100 000 – 200 000 ₽ за месяц, на руки",100000.0,200000.0
Ветеринарный врач ОРиИТ,Ветеринарный врач,Ветеринарный Госпиталь Skolkovo Vet,"от 100 000 ₽ за месяц, на руки",100000.0,
Ассистент ветеринарного врача ОРИТ,Ассистент ветеринарного врача,Ветеринарный центр Ковчег,"37 000 – 90 000 ₽ за месяц, на руки",37000.0,90000.0
Ветеринарный врач-терапевт-кардиолог,Ветеринарный врач,ООО Сеть ветеринарных клиник ЛЕБЕДИ,"120 000 – 170 000 ₽ за месяц, на руки",120000.0,170000.0
"Ветеринарный врач (ЮАО/Царицыно, Марьино, Коломенский)",Ветеринарный врач,ООО Первый ветеринарный центр,"150 000 – 200 000 ₽ за месяц, на руки",150000.0,200000.0
Ветеринарный врач-консультант (сельское хозяйство),Ветеринарный врач,ООО ВЕРУМБИО,"от 130 000 ₽ за месяц, на руки",130000.0,
Ассистент ветеринарного врача в отделение патоморфологии,Ассистент ветеринарного врача,ООО Биоконтроль,"55 000 – 60 000 ₽ за месяц, до вычета налогов",55000.0,60000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Ветеринарная клиника КотОся,"от 60 000 ₽ за месяц, на руки",60000.0,
Ветеринарный врач,Ветеринарный врач,Ветеринарная клиника Львёнок,"96 000 – 140 000 ₽ за месяц, на руки",96000.0,140000.0
Ветеринарный врач,Ветеринарный врач,ООО Сеть ветеринарных клиник ЛЕБЕДИ,"130 000 – 200 000 ₽ за месяц, на руки",130000.0,200000.0
Ветеринарный врач,Ветеринарный врач,Клинико-диагностический ветеринарный центр POLIVET,"100 000 – 150 000 ₽ за месяц, на руки",100000.0,150000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,ООО Ветеринарный центр КОМОНДОР,"от 63 000 ₽ за месяц, на руки",63000.0,
Ветеринарный врач / Ассистент ветеринарного врача,Ассистент ветеринарного врача,NEW FORMAT,"200 000 – 250 000 ₽ за месяц, на руки",200000.0,250000.0
Ассистент ветеринарного врача,Ассистент ветеринарного врача,Оригами,"55 000 – 70 000 ₽ за месяц, на руки",55000.0,70000.0
Ветеринарный врач - анестезиолог,Ветеринарный врач,ВЕТЕРИНАРНАЯ КЛИНИКА ВОДОЛЕЙ.,"140 000 – 160 000 ₽ за месяц, на руки",140000.0,160000.0
